Rev, Name, Targeted, Satellite, Epoch_SCET, DOY, Alt_km, in_out, Speed_km_s, Phase_deg
86, 86PL, , Pallene, 2008-Sep-25 03:12, 269, 115320, out, 19.3, 118
87, 87TE, , Tethys, 2008-Oct-02 11:03, 276, 78712, in, 17.6, 70
87, 87TI, , Titan, 2008-Oct-03 23:03, 277, 780532, out, 9.3, 125
88, 88TL, , Telesto, 2008-Oct-09 18:46, 283, 67245, in, 17.2, 22
88, 88JA, , Janus, 2008-Oct-09 18:56, 283, 89530, in, 19.4, 151
88, 88EN, E5, Enceladus, 2008-Oct-09 19:07, 283, 25, in, 17.7, 113
89, 89PL, , Pallene, 2008-Oct-17 02:58, 291, 28938, in, 18.1, 141
89, 89EP, , Epimetheus, 2008-Oct-17 04:22, 291, 119000, out, 20.3, 136
89, 89TI, , Titan, 2008-Oct-19 05:25, 293, 397700, out, 7.1, 125
90, 90JA, , Janus, 2008-Oct-24 09:14, 298, 108132, in, 19.5, 132
90, 90PN, , Pan, 2008-Oct-24 10:08, 298, 105460, in, 20.1, 156
90, 90MI, , Mimas, 2008-Oct-24 10:25, 298, 57283, in, 18.3, 155
91, 91ME, , Methone, 2008-Oct-31 16:02, 305, 116150, in, 18.8, 102
91, 91PA, , Pandora, 2008-Oct-31 16:31, 305, 111472, in, 19.8, 138
91, 91DA, , Daphnis, 2008-Oct-31 17:14, 305, 102875, in, 19.9, 155
91, 91EN, E6, Enceladus, 2008-Oct-31 17:15, 305, 169, in, 17.7, 110
91, 91AT, , Atlas, 2008-Oct-31 18:11, 305, 112312, out, 20.3, 147
91, 91EP, , Epimetheus, 2008-Oct-31 18:35, 305, 118913, out, 20.3, 136
91, 91TI, T46, Titan, 2008-Nov-03 17:35, 308, 1105, out, 6.3, 171
92, 92PO, , Polydeuces, 2008-Nov-08 20:58, 313, 120993, in, 15.3, 12
92, 92TL, , Telesto, 2008-Nov-08 21:28, 313, 67097, in, 16.4, 85
92, 92EN, , Enceladus, 2008-Nov-08 21:48, 313, 55274, in, 16.9, 127
93, 93TE, , Tethys, 2008-Nov-16 20:42, 321, 57646, in, 15.9, 41
93, 93TI, T47, Titan, 2008-Nov-19 15:56, 324, 1023, out, 6.3, 28
94, 94HE, , Helene, 2008-Nov-24 08:27, 329, 65571, in, 14.3, 14
94, 94TE, , Tethys, 2008-Nov-24 08:46, 329, 23545, in, 15.2, 160
95, 95EN, , Enceladus, 2008-Dec-02 06:36, 337, 123745, in, 15.7, 115
95, 95CA, , Calypso, 2008-Dec-02 07:18, 337, 69572, in, 15.2, 93
95, 95TI, T48, Titan, 2008-Dec-05 14:26, 340, 961, out, 6.3, 25
96, 96CA, , Calypso, 2008-Dec-09 18:40, 344, 74027, out, 14.9, 147
97, 97TI, T49, Titan, 2008-Dec-21 13:00, 356, 971, out, 6.3, 83
100, 100TI, , Titan, 2009-Jan-14 09:29, 014, 704003, out, 9.3, 25
102, 102RH, , Rhea, 2009-Feb-02 10:45, 033, 98807, in, 10.5, 82
102, 102TI, T50, Titan, 2009-Feb-07 08:51, 038, 967, out, 6.3, 136
103, 103TI, , Titan, 2009-Feb-13 18:26, 044, 707039, in, 7.7, 98
106, 106TI, , Titan, 2009-Mar-21 11:51, 080, 991549, in, 8.0, 63
106, 106TI, T51, Titan, 2009-Mar-27 04:44, 086, 963, out, 6.3, 84
108, 108TI, T52, Titan, 2009-Apr-04 01:48, 094, 4147, in, 5.8, 151
108, 108TI, , Titan, 2009-Apr-11 17:35, 101, 326143, out, 6.0, 67
109, 109TI, T53, Titan, 2009-Apr-20 00:21, 110, 3599, in, 5.8, 149
109, 109TI, , Titan, 2009-Apr-27 04:06, 117, 694947, out, 6.3, 64
110, 110TI, T54, Titan, 2009-May-05 22:54, 125, 3242, in, 5.8, 146
111, 111TI, T55, Titan, 2009-May-21 21:27, 141, 966, in, 6.0, 142
112, 112TI, T56, Titan, 2009-Jun-06 20:00, 157, 968, in, 6.0, 135
113, 113TI, T57, Titan, 2009-Jun-22 18:33, 173, 955, in, 6.0, 128
114, 114TI, T58, Titan, 2009-Jul-08 17:04, 189, 966, in, 6.0, 120
114, 114DI, , Dione, 2009-Jul-11 03:13, 192, 86563, out, 9.2, 62
115, 115TI, T59, Titan, 2009-Jul-24 15:34, 205, 956, in, 6.0, 112
115, 115PM, , Prometheus, 2009-Jul-26 16:19, 207, 113398, out, 10.4, 79
115, 115PA, , Pandora, 2009-Jul-26 16:49, 207, 103586, out, 10.1, 66
115, 115JA, , Janus, 2009-Jul-26 17:06, 207, 94091, out, 9.9, 59
115, 115TE, , Tethys, 2009-Jul-26 18:15, 207, 68254, out, 9.5, 89
116, 116TI, T60, Titan, 2009-Aug-09 14:04, 221, 971, in, 6.0, 104
116, 116AT, , Atlas, 2009-Aug-11 11:26, 223, 118903, in, 14.4, 117
117, 117TI, T61, Titan, 2009-Aug-25 12:52, 237, 961, in, 6.0, 86
117, 117AE, , Aegaeon, 2009-Aug-27 09:37, 239, 106992, in, 3.0, 105
117, 117PL, , Pallene, 2009-Aug-27 11:03, 239, 101272, out, 7.5, 119
117, 117TL, , Telesto, 2009-Aug-27 13:11, 239, 25201, out, 5.8, 86
118, 118PM, , Prometheus, 2009-Sep-20 10:10, 263, 121149, out, 2.7, 73
118, 118DI, , Dione, 2009-Sep-20 16:51, 263, 97134, out, 9.8, 94
118, 118TI, , Titan, 2009-Sep-22 06:53, 265, 293866, out, 4.8, 113
119, 119TI, T62, Titan, 2009-Oct-12 08:36, 285, 1300, in, 6.0, 99
119, 119RH, , Rhea, 2009-Oct-13 16:55, 286, 40404, in, 9.0, 82
119, 119ME, , Methone, 2009-Oct-14 03:18, 287, 86106, in, 11.8, 39
119, 119AT, , Atlas, 2009-Oct-14 04:20, 287, 70650, in, 2.9, 114
119, 119CA, , Calypso, 2009-Oct-14 04:33, 287, 100793, in, 7.7, 107
119, 119MI, , Mimas, 2009-Oct-14 06:33, 287, 44044, out, 7.8, 102
119, 119TE, , Tethys, 2009-Oct-14 10:11, 287, 85104, out, 11.9, 76
120, 120TI, , Titan, 2009-Nov-01 23:57, 305, 978758, in, 9.9, 73
120, 120PL, , Pallene, 2009-Nov-02 02:08, 306, 93545, in, 12.6, 46
120, 120EP, , Epimetheus, 2009-Nov-02 05:27, 306, 105159, out, 8.0, 6
120, 120CA, , Calypso, 2009-Nov-02 06:56, 306, 86769, out, 6.9, 117
120, 120EN, E7, Enceladus, 2009-Nov-02 07:42, 306, 99, out, 7.7, 90
121, 121HE, , Helene, 2009-Nov-20 22:04, 324, 82627, in, 6.6, 105
121, 121EN, E8, Enceladus, 2009-Nov-21 02:10, 325, 1597, in, 7.8, 88
121, 121PA, , Pandora, 2009-Nov-21 04:45, 325, 59455, in, 3.0, 103
121, 121TI, , Titan, 2009-Nov-21 08:30, 325, 965079, out, 11.1, 138
121, 121CA, , Calypso, 2009-Nov-21 10:20, 325, 37052, out, 10.0, 78
121, 121RH, , Rhea, 2009-Nov-21 17:36, 325, 24454, out, 8.7, 58
122, 122HE, , Helene, 2009-Dec-09 22:28, 343, 31766, in, 9.6, 73
122, 122PL, , Pallene, 2009-Dec-10 03:34, 344, 111224, in, 13.7, 47
122, 122TI, T63, Titan, 2009-Dec-12 01:03, 346, 4848, out, 5.7, 124
123, 123TE, , Tethys, 2009-Dec-26 00:36, 360, 52931, in, 11.8, 77
123, 123PM, , Prometheus, 2009-Dec-26 05:01, 360, 56461, in, 10.5, 36
123, 123TI, T64, Titan, 2009-Dec-28 00:17, 362, 951, out, 5.9, 86
124, 124PA, , Pandora, 2010-Jan-11 02:09, 011, 73053, in, 7.1, 141
124, 124ME, , Methone, 2010-Jan-11 02:25, 011, 26919, in, 8.0, 145
124, 124EN, , Enceladus, 2010-Jan-11 06:47, 011, 105787, out, 11.4, 98
124, 124CA, , Calypso, 2010-Jan-11 08:17, 011, 113039, out, 8.0, 102
124, 124TI, T65, Titan, 2010-Jan-12 23:11, 012, 1074, out, 5.9, 95
125, 125TL, , Telesto, 2010-Jan-27 00:30, 027, 97062, in, 7.2, 91
125, 125ME, , Methone, 2010-Jan-27 01:40, 027, 72085, in, 14.0, 60
125, 125PN, , Pan, 2010-Jan-27 04:31, 027, 97941, out, 14.8, 123
125, 125PM, , Prometheus, 2010-Jan-27 04:36, 027, 32492, out, 7.2, 112
125, 125AE, , Aegaeon, 2010-Jan-27 05:19, 027, 13303, out, 7.4, 97
125, 125DI, , Dione, 2010-Jan-27 11:47, 027, 45080, out, 8.7, 106
125, 125TI, T66, Titan, 2010-Jan-28 22:29, 028, 7486, out, 5.7, 69
126, 126CA, , Calypso, 2010-Feb-13 11:45, 044, 21317, in, 10.1, 72
126, 126EP, , Epimetheus, 2010-Feb-13 16:16, 044, 93236, in, 12.4, 30
126, 126JA, , Janus, 2010-Feb-13 16:22, 044, 115086, in, 14.4, 29
126, 126MI, , Mimas, 2010-Feb-13 17:22, 044, 9547, out, 5.8, 99
126, 126TE, , Tethys, 2010-Feb-13 18:16, 044, 111975, out, 8.2, 114
126, 126TI, , Titan, 2010-Feb-14 22:47, 045, 650558, out, 8.8, 32
127, 127RH, R2, Rhea, 2010-Mar-02 17:41, 061, 102, in, 8.6, 87
127, 127PN, , Pan, 2010-Mar-03 04:38, 062, 103801, in, 6.0, 149
127, 127CA, , Calypso, 2010-Mar-03 11:03, 062, 91755, out, 12.8, 77
127, 127HE, , Helene, 2010-Mar-03 13:41, 062, 1856, out, 9.1, 106
128, 128TI, , Titan, 2010-Mar-19 14:37, 078, 649738, in, 8.9, 119
128, 128TL, , Telesto, 2010-Mar-20 16:17, 079, 92974, in, 12.8, 72
128, 128AT, , Atlas, 2010-Mar-20 20:48, 079, 101207, in, 9.8, 137
128, 128PM, , Prometheus, 2010-Mar-20 21:11, 079, 40889, in, 3.9, 101
128, 128DA, , Daphnis, 2010-Mar-20 21:43, 079, 65415, out, 5.7, 22
128, 128ME, , Methone, 2010-Mar-20 23:29, 079, 52103, out, 10.9, 99
128, 128PL, , Pallene, 2010-Mar-21 00:03, 080, 70664, out, 12.5, 94
128, 128PO, , Polydeuces, 2010-Mar-21 04:47, 080, 30029, out, 10.2, 70
129, 129TI, T67, Titan, 2010-Apr-05 15:51, 095, 7438, in, 5.7, 73
129, 129DI, D2, Dione, 2010-Apr-07 05:16, 097, 506, in, 8.4, 79
129, 129CA, , Calypso, 2010-Apr-07 08:00, 097, 97950, in, 11.7, 69
129, 129EP, , Epimetheus, 2010-Apr-07 12:46, 097, 61715, in, 2.4, 89
129, 129JA, , Janus, 2010-Apr-07 13:44, 097, 74603, out, 2.8, 40
129, 129MI, , Mimas, 2010-Apr-07 13:47, 097, 97429, out, 10.3, 124
129, 129TE, , Tethys, 2010-Apr-07 14:58, 097, 70779, out, 6.4, 103
130, 130PM, , Prometheus, 2010-Apr-27 20:39, 117, 84504, in, 1.6, 116
130, 130TL, , Telesto, 2010-Apr-27 20:45, 117, 79611, in, 6.7, 97
130, 130TI, , Titan, 2010-Apr-27 21:09, 117, 989121, in, 12.5, 94
130, 130DA, , Daphnis, 2010-Apr-27 22:42, 117, 86343, out, 1.4, 47
130, 130PA, , Pandora, 2010-Apr-27 23:05, 117, 91534, out, 1.8, 34
130, 130PL, , Pallene, 2010-Apr-27 23:46, 117, 71189, out, 9.7, 112
130, 130PN, , Pan, 2010-Apr-27 23:53, 117, 113811, out, .5, 24
130, 130EN, E9, Enceladus, 2010-Apr-28 00:10, 118, 100, out, 6.5, 93
131, 131EN, E10, Enceladus, 2010-May-18 06:05, 138, 437, in, 6.5, 114
131, 131ME, , Methone, 2010-May-18 08:21, 138, 18326, in, 4.3, 75
131, 131TI, T68, Titan, 2010-May-20 03:24, 140, 1398, out, 5.9, 112
132, 132HE, , Helene, 2010-Jun-03 00:39, 154, 114183, in, 11.7, 85
132, 132CA, , Calypso, 2010-Jun-03 06:11, 154, 119914, in, 8.9, 80
132, 132PA, , Pandora, 2010-Jun-03 07:16, 154, 97170, in, 14.1, 44
132, 132TE, , Tethys, 2010-Jun-03 12:57, 154, 52566, out, 9.6, 99
132, 132RH, , Rhea, 2010-Jun-03 20:32, 154, 69353, out, 8.0, 102
132, 132TI, T69, Titan, 2010-Jun-05 02:26, 156, 2042, out, 5.8, 87
133, 133RH, , Rhea, 2010-Jun-18 19:50, 169, 120595, in, 10.7, 109
133, 133PN, , Pan, 2010-Jun-19 07:10, 170, 29331, out, 5.0, 115
133, 133PO, , Polydeuces, 2010-Jun-19 14:09, 170, 97487, out, 12.4, 79
133, 133TI, T70, Titan, 2010-Jun-21 01:28, 172, 878, out, 5.9, 82
134, 134CA, , Calypso, 2010-Jul-05 00:35, 186, 114698, in, 12.7, 70
134, 134EN, , Enceladus, 2010-Jul-05 02:02, 186, 58192, in, 11.4, 58
134, 134DA, , Daphnis, 2010-Jul-05 05:01, 186, 72649, in, 9.2, 48
134, 134TI, T71, Titan, 2010-Jul-07 00:23, 188, 1004, out, 5.9, 82
135, 135PM, , Prometheus, 2010-Jul-25 03:30, 206, 70068, out, 2.2, 70
135, 135AT, , Atlas, 2010-Jul-25 04:32, 206, 89567, out, 2.1, 37
136, 136TI, , Titan, 2010-Aug-11 13:35, 223, 417269, in, 4.0, 80
136, 136DI, , Dione, 2010-Aug-13 17:44, 225, 108754, in, 11.3, 84
136, 136CA, , Calypso, 2010-Aug-13 20:31, 225, 22683, in, 7.4, 99
136, 136EN, E11, Enceladus, 2010-Aug-13 22:31, 225, 2555, in, 6.8, 85
136, 136EP, , Epimetheus, 2010-Aug-13 23:21, 225, 101880, in, 3.7, 149
136, 136AT, , Atlas, 2010-Aug-14 00:34, 226, 74161, in, 2.1, 102
136, 136PA, , Pandora, 2010-Aug-14 01:08, 226, 67745, out, 2.3, 78
136, 136DA, , Daphnis, 2010-Aug-14 01:25, 226, 74372, out, 2.0, 68
136, 136JA, , Janus, 2010-Aug-14 02:01, 226, 79716, out, 3.3, 35
136, 136PN, , Pan, 2010-Aug-14 02:05, 226, 86698, out, 1.8, 48
136, 136TE, , Tethys, 2010-Aug-14 06:03, 226, 38053, out, 9.3, 91
137, 137PO, , Polydeuces, 2010-Sep-02 18:30, 245, 66576, in, 7.0, 94
137, 137TL, , Telesto, 2010-Sep-02 20:43, 245, 71186, in, 10.8, 73
137, 137AE, , Aegaeon, 2010-Sep-03 01:51, 246, 110713, out, 9.3, 27
137, 137TI, , Titan, 2010-Sep-03 02:29, 246, 985306, out, 12.5, 103
137, 137EP, , Epimetheus, 2010-Sep-03 03:00, 246, 93370, out, 3.9, 24
137, 137DI, , Dione, 2010-Sep-03 09:16, 246, 39035, out, 9.2, 83
138, 138EN, , Enceladus, 2010-Sep-23 03:07, 266, 112043, out, 12.7, 104
138, 138CA, , Calypso, 2010-Sep-23 04:54, 266, 28935, out, 8.4, 86
138, 138PO, , Polydeuces, 2010-Sep-23 07:26, 266, 100344, out, 11.2, 82
138, 138TI, T72, Titan, 2010-Sep-24 18:39, 267, 8178, out, 5.7, 60
139, 139TI, , Titan, 2010-Oct-14 17:07, 287, 172783, in, 4.8, 80
139, 139PO, , Polydeuces, 2010-Oct-16 10:47, 289, 115999, in, 10.8, 73
139, 139MI, , Mimas, 2010-Oct-16 17:32, 289, 70136, in, 2.4, 101
139, 139PL, , Pallene, 2010-Oct-16 17:57, 289, 36108, in, 3.5, 82
139, 139TL, , Telesto, 2010-Oct-16 18:05, 289, 48494, out, 5.5, 99
139, 139ME, , Methone, 2010-Oct-16 18:39, 289, 105279, out, 5.8, 23
139, 139AE, , Aegaeon, 2010-Oct-16 19:17, 289, 96386, out, 1.9, 40
139, 139DI, , Dione, 2010-Oct-17 01:04, 290, 31420, out, 6.8, 91
139, 139RH, , Rhea, 2010-Oct-17 06:48, 290, 38483, out, 7.1, 100
140, 140DI, , Dione, 2010-Nov-09 10:56, 313, 99850, in, 10.2, 74
140, 140EN, , Enceladus, 2010-Nov-09 16:22, 313, 44990, in, 6.5, 50
140, 140TI, T73, Titan, 2010-Nov-11 13:37, 315, 7926, out, 5.6, 121
141, 141HY, , Hyperion, 2010-Nov-28 03:29, 332, 71846, in, 4.9, 73
141, 141TI, , Titan, 2010-Nov-29 06:26, 333, 926131, in, 10.5, 130
141, 141AT, , Atlas, 2010-Nov-30 07:18, 334, 114368, in, .7, 144
141, 141JA, , Janus, 2010-Nov-30 11:13, 334, 95616, out, 2.4, 29
141, 141EN, E12, Enceladus, 2010-Nov-30 11:54, 334,  46, out, 6.3, 78
142, 142TI, , Titan, 2010-Dec-16 19:57, 350, 848609, in, 3.6, 91
142, 142TI, , Titan, 2010-Dec-20 12:17, 354, 893286, in, 6.3, 46
142, 142DI, , Dione, 2010-Dec-20 16:51, 354, 100150, in, 5.9, 87
142, 142PN, , Pan, 2010-Dec-20 20:36, 354, 115572, in, .4, 141
142, 142PA, , Pandora, 2010-Dec-20 20:42, 354, 109113, in, 1.1, 143
142, 142DA, , Daphnis, 2010-Dec-20 23:36, 354, 85020, out, 1.3, 61
142, 142EN, E13, Enceladus, 2010-Dec-21 01:08, 355,  48, out, 6.2, 89
143, 143PA, , Pandora, 2011-Jan-10 14:43, 010, 94713, in, 1.5, 133
143, 143ME, , Methone, 2011-Jan-10 17:23, 010, 85743, out, 9.4, 127
143, 143TI, , Titan, 2011-Jan-11 03:19, 011, 838661, out, 5.9, 140
143, 143RH, R3, Rhea, 2011-Jan-11 04:53, 011,  70, out, 8.0, 101
143, 143TI, , Titan, 2011-Jan-14 09:20, 014, 772713, out, 3.6, 96
144, 144EP, , Epimetheus, 2011-Jan-31 02:15, 031, 68453, in, 2.5, 116
144, 144CA, , Calypso, 2011-Jan-31 03:49, 031, 77726, out, 6.6, 94
144, 144PM, , Prometheus, 2011-Jan-31 04:47, 031, 105546, out, 1.1, 33
144, 144EN, , Enceladus, 2011-Jan-31 05:52, 031, 60154, out, 9.6, 111
144, 144HE, , Helene, 2011-Jan-31 10:17, 031, 27644, out, 7.5, 92
145, 145TI, T74, Titan, 2011-Feb-18 16:04, 049, 3651, in, 5.8, 62
145, 145EN, , Enceladus, 2011-Feb-20 14:03, 051, 67918, out, 4.2, 134
145, 145PL, , Pallene, 2011-Feb-20 14:49, 051, 92220, out, 2.7, 56
145, 145TE, , Tethys, 2011-Feb-20 17:13, 051, 47674, out, 6.7, 124
146, 146TL, , Telesto, 2011-Mar-20 12:14, 079, 10035, out, 4.3, 83
147, 147AE, , Aegaeon, 2011-Apr-17 09:12, 107, 118154, in, .6, 109
147, 147HE, , Helene, 2011-Apr-17 13:39, 107, 69498, out, 5.2, 81
147, 147TI, T75, Titan, 2011-Apr-19 05:01, 109, 10053, out, 5.6, 101
148, 148TI, T76, Titan, 2011-May-08 22:54, 128, 1873, in, 5.9, 47
149, 149HE, , Helene, 2011-Jun-18 19:32, 169, 6972, in, 4.6, 102
149, 149TL, , Telesto, 2011-Jun-18 23:40, 169, 62002, in, 2.8, 108
149, 149TI, T77, Titan, 2011-Jun-20 18:32, 171, 1359, out, 5.9, 73
150, 150TI, , Titan, 2011-Jul-09 06:59, 190, 627647, in, 8.8, 168
150, 150HE, , Helene, 2011-Jul-10 10:46, 191, 92958, in, 5.6, 40
150, 150JA, , Janus, 2011-Jul-10 15:44, 191, 92986, in, 1.0, 141
150, 150PN, , Pan, 2011-Jul-10 15:51, 191, 110206, in, 0.1, 138
150, 150PM, , Prometheus, 2011-Jul-10 17:15, 191, 113120, out, 0.2, 108
151, 151HE, , Helene, 2011-Aug-01 00:39, 213, 76572, in, 9.6, 129
151, 151TI, , Titan, 2011-Aug-01 07:08, 213, 983659, in, 11.2, 37
151, 151TL, , Telesto, 2011-Aug-01 08:10, 213, 50582, in, 5.6, 45
151, 151ME, , Methone, 2011-Aug-01 08:41, 213, 97432, out, 5.8, 81
151, 151RH, , Rhea, 2011-Aug-01 21:02, 213, 5854, out, 7.7, 131
152, 152EP, , Epimetheus, 2011-Aug-23 03:17, 235, 95970, in, 1.1, 153
152, 152AT, , Atlas, 2011-Aug-23 05:29, 235, 118349, out, 0.1, 104
152, 152TI, , Titan, 2011-Aug-24 12:11, 236, 585571, out, 8.5, 101
152, 152HY, , Hyperion, 2011-Aug-25 16:47, 237, 24979, out, 5.1, 107
153, 153TI, T78, Titan, 2011-Sep-12 02:50, 255, 5821, in, 5.8, 159
153, 153RH, , Rhea, 2011-Sep-13 10:34, 256, 25416, in, 8.7, 141
153, 153TE, , Tethys, 2011-Sep-13 18:19, 256, 32819, in, 7.3, 53
153, 153PA, , Pandora, 2011-Sep-13 22:37, 256, 58109, in, 2.7, 154
153, 153EN, , Enceladus, 2011-Sep-13 22:49, 256, 42217, in, 6.3, 51
153, 153JA, , Janus, 2011-Sep-13 23:09, 256, 45580, out, 3.5, 109
153, 153ME, , Methone, 2011-Sep-14 00:48, 257, 119908, out, 14.0, 159
153, 153PL, , Pallene, 2011-Sep-14 01:21, 257, 25976, out, 8.2, 152
153, 153TL, , Telesto, 2011-Sep-14 03:53, 257, 23335, out, 7.7, 53
153, 153HY, , Hyperion, 2011-Sep-16 13:23, 259, 57978, out, 4.8, 84
154, 154TI, , Titan, 2011-Sep-28 03:23, 271, 679829, in, 3.7, 43
154, 154TI, , Titan, 2011-Sep-30 17:19, 273, 835954, in, 3.1, 12
154, 154EN, E14, Enceladus, 2011-Oct-01 13:52, 274,  99, in, 7.4, 102
154, 154EP, , Epimetheus, 2011-Oct-01 17:31, 274, 67922, out, 4.2, 81
154, 154CA, , Calypso, 2011-Oct-01 21:46, 274, 124832, out, 13.3, 136
155, 155TL, , Telesto, 2011-Oct-19 07:36, 292, 25569, in, 7.5, 53
155, 155EN, E15, Enceladus, 2011-Oct-19 09:22, 292, 1231, in, 7.5, 118
156, 156EN, E16, Enceladus, 2011-Nov-06 04:59, 310, 496, in, 7.4, 74
156, 156ME, , Methone, 2011-Nov-06 06:37, 310, 19406, in, 6.3, 107
156, 156PA, , Pandora, 2011-Nov-06 08:58, 310, 76343, out, 3.2, 81
156, 156CA, , Calypso, 2011-Nov-06 10:00, 310, 86241, out, 6.9, 55
157, 157HE, , Helene, 2011-Nov-23 21:05, 327, 103250, in, 11.4, 134
157, 157EN, , Enceladus, 2011-Nov-24 03:03, 328, 34524, in, 6.2, 52
157, 157EP, , Epimetheus, 2011-Nov-24 04:44, 328, 51252, out, 3.5, 103
157, 157TI, , Titan, 2011-Nov-24 15:00, 328, 863156, out, 6.1, 97
157, 157TI, , Titan, 2011-Nov-27 23:52, 331, 748427, out, 3.8, 52
158, 158CA, , Calypso, 2011-Dec-12 00:26, 346, 91807, in, 7.1, 42
158, 158EN, , Enceladus, 2011-Dec-12 04:27, 346, 19908, out, 6.5, 41
158, 158TE, , Tethys, 2011-Dec-12 07:05, 346, 60603, out, 10.8, 139
158, 158DI, D3, Dione, 2011-Dec-12 09:39, 346,  99, out, 8.7, 49
158, 158TI, T79, Titan, 2011-Dec-13 20:11, 347, 3586, out, 5.8, 100
159, 159TI, T80, Titan, 2012-Jan-02 15:14, 002, 29415, in, 5.5, 76
159, 159HE, , Helene, 2012-Jan-04 05:38, 004, 42192, in, 8.1, 112
159, 159MI, , Mimas, 2012-Jan-04 11:17, 004, 103426, in, 2.0, 161
159, 159JA, , Janus, 2012-Jan-04 12:21, 004, 117855, in, 0.2, 135
160, 160TI, T81, Titan, 2012-Jan-30 13:40, 030, 31131, out, 5.4, 96
161, 161TI, T82, Titan, 2012-Feb-19 08:43, 050, 3803, in, 5.8, 143
161, 161PO, , Polydeuces, 2012-Feb-20 22:33, 051, 90784, in, 6.3, 59
161, 161TL, , Telesto, 2012-Feb-21 01:14, 052, 55047, in, 6.6, 64
161, 161EN, , Enceladus, 2012-Feb-21 02:01, 052, 46669, in, 10.1, 100
161, 161PL, , Pallene, 2012-Feb-21 02:55, 052, 69242, in, 11.0, 92
161, 161PA, , Pandora, 2012-Feb-21 05:51, 052, 60385, out, 2.9, 87
161, 161DI, , Dione, 2012-Feb-21 11:10, 052, 119724, out, 6.0, 74
161, 161RH, , Rhea, 2012-Feb-21 17:16, 052, 100499, out, 9.9, 104
162, 162TI, , Titan, 2012-Mar-06 07:50, 066, 717800, in, 3.7, 56
162, 162HY, , Hyperion, 2012-Mar-08 01:31, 068, 104027, in, 5.5, 148
162, 162TI, , Titan, 2012-Mar-09 10:14, 069, 864023, in, 4.5, 16
162, 162HE, , Helene, 2012-Mar-09 18:49, 069, 109821, in, 11.6, 121
162, 162EN, , Enceladus, 2012-Mar-09 23:22, 069, 9176, in, 7.0, 75
162, 162PM, , Prometheus, 2012-Mar-10 02:30, 070, 58016, out, 2.5, 102
162, 162EP, , Epimetheus, 2012-Mar-10 03:29, 070, 111431, out, 6.9, 49
162, 162CA, , Calypso, 2012-Mar-10 06:36, 070, 47338, out, 6.8, 63
162, 162RH, , Rhea, 2012-Mar-10 15:03, 070, 41864, out, 7.5, 73
163, 163PO, , Polydeuces, 2012-Mar-27 15:54, 087, 118106, in, 6.0, 53
163, 163EN, E17, Enceladus, 2012-Mar-27 18:30, 087,  74, in, 7.5, 105
163, 163PM, , Prometheus, 2012-Mar-27 21:01, 087, 62913, in, 2.5, 145
163, 163JA, , Janus, 2012-Mar-27 21:34, 087, 43862, out, 3.2, 116
163, 163DI, , Dione, 2012-Mar-28 05:07, 088, 44000, out, 7.5, 64
164, 164HE, , Helene, 2012-Apr-14 09:37, 105, 104849, in, 11.5, 121
164, 164CA, , Calypso, 2012-Apr-14 12:44, 105, 48738, in, 6.7, 62
164, 164EN, E18, Enceladus, 2012-Apr-14 14:02, 105,  74, in, 7.5, 104
164, 164PM, , Prometheus, 2012-Apr-14 15:16, 105, 97622, in, 2.4, 166
164, 164PA, , Pandora, 2012-Apr-14 15:43, 105, 87234, in, 3.3, 167
164, 164TI, , Titan, 2012-Apr-14 18:44, 105, 995034, out, 12.5, 78
164, 164TE, , Tethys, 2012-Apr-14 22:06, 105, 9052, out, 8.7, 126
164, 164HY, , Hyperion, 2012-Apr-16 21:30, 107, 123216, out, 5.7, 87
165, 165PO, , Polydeuces, 2012-May-02 06:55, 123, 117987, in, 6.0, 53
165, 165EN, E19, Enceladus, 2012-May-02 09:31, 123,  74, in, 7.5, 100
165, 165AT, , Atlas, 2012-May-02 13:54, 123, 84715, out, 2.5, 65
165, 165DI, , Dione, 2012-May-02 20:13, 123, 8063, out, 8.5, 65
165, 165TI, , Titan, 2012-May-03 01:17, 124, 834430, out, 5.2, 111
165, 165TI, , Titan, 2012-May-06 03:41, 127, 699949, out, 3.7, 65
166, 166TE, , Tethys, 2012-May-20 02:15, 141, 53806, in, 6.6, 62
166, 166EN, , Enceladus, 2012-May-20 03:03, 141, 70352, in, 11.4, 102
166, 166DA, , Daphnis, 2012-May-20 03:58, 141, 115206, in, 1.4, 161
166, 166PM, , Prometheus, 2012-May-20 04:33, 141, 100888, in, 2.6, 164
166, 166PN, , Pan, 2012-May-20 06:03, 141, 63574, in, 2.2, 137
166, 166ME, , Methone, 2012-May-20 06:57, 141, 1863, out, 5.1, 126
166, 166MI, , Mimas, 2012-May-20 08:04, 141, 113321, out, 13.7, 148
166, 166PL, , Pallene, 2012-May-20 08:57, 141, 75139, out, 11.3, 142
166, 166TL, , Telesto, 2012-May-20 11:31, 141, 11015, out, 8.9, 128
166, 166TI, T83, Titan, 2012-May-22 01:10, 143, 955, out, 5.9, 71
167, 167PL, , Pallene, 2012-Jun-05 02:32, 157, 74747, in, 12.1, 93
167, 167PM, , Prometheus, 2012-Jun-05 03:01, 157, 99959, in, 5.7, 161
167, 167PA, , Pandora, 2012-Jun-05 04:22, 157, 49933, in, 5.5, 126
167, 167MI, , Mimas, 2012-Jun-05 05:08, 157, 43555, out, 7.2, 114
